Number,Code Name,Description,Citations,URLs
391,Thyroid code,The Thyroid Code,"Bianco, A. C. (2011). Minireview: cracking the metabolic code for thyroid hormone signaling. Endocrinology, 152(9), 3306-3311. Bianco, A. C. (2013). Cracking the code for thyroid hormone signaling. Trans Am Clin Climatol Assoc, 124, 26-35. Russo, S. C., F. Salas-Lucia and A. C. Bianco (2021). ""Deiodinases and the Metabolic Code for Thyroid Hormone Action."" Endocrinology 162(8).","[""https://academic.oup.com/endo/article/162/8/bqab059/6171212"", ""https://doi.org/10.1210/en.2011-1104"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC3715916/""]"
392,Tight junction code,Tight Junction Codes,"Gupta, I. R. and A. K. Ryan (2010). ""Claudins: unlocking the code to tight junction function during embryogenesis and in disease."" Clin Genet 77(4): 314-325.","[""https://onlinelibrary.wiley.com/doi/10.1111/j.1399-0004.2010.01397.x"", ""https://www.pnas.org/doi/abs/10.1073/pnas.1214107109""]"
393,Time code,The Time Codes,"Mankin, E. A., F. T. Sparks, B. Slayyeh, R. J. Sutherland, S. Leutgeb and J. K. Leutgeb (2012). ""Neuronal code for extended time in the hippocampus."" Proc Natl Acad Sci U S A 109(47): 19462-19467. Andres, D. S., D. Cerquetti and M. Merello (2015). ""Neural code alterations and abnormal time patterns in Parkinson's disease."" J Neural Eng 12(2): 026004. Mello, G. B., S. Soares and J. J. Paton (2015). ""A scalable population code for time in the striatum."" Curr Biol 25(9): 1113-1122. Takehara-Nishiuchi, K. (2022). ""Neuronal Code for Episodic Time in the Lateral Entorhinal Cortex."" Front Integr Neurosci 16: 899412.","[""https://iopscience.iop.org/article/10.1088/1741-2560/12/2/026004"", ""https://www.cell.com/current-biology/fulltext/S0960-9822(15)00205-5"", ""https://www.frontiersin.org/articles/10.3389/fnint.2022.899412/full"", ""https://www.pnas.org/doi/abs/10.1073/pnas.1214107109"", ""https://www.sciencedirect.com/science/article/abs/pii/0003269779906444""]"
394,Tissue code,The Tissue Code,"Irwin, D. and I. D. Dauphinais (1979). ""A tissue-specific code based on the abundance of SDS- solubilized proteins."" Anal Biochem 92(1): 193-198. Boman, B. M., T.-N. Dinh, K. Decker, B. Emerick, S. Modarai, L. Opdenaker, J. Z. Fields, C. Raymond and G. Schleiniger (2023). ""Beyond the Genetic Code: A Tissue Code?"" bioRxiv: 2023.2003.2005.531161.","[""https://www.biorxiv.org/content/10.1101/2023.03.05.531161v1"", ""https://www.mdpi.com/1422-0067/23/19/11575"", ""https://www.sciencedirect.com/science/article/abs/pii/0003269779906444""]"
395,Tissue memory code,The Tissue Memory Code,"Berlanga-Acosta, J., M. Fernandez-Mayola, Y. Mendoza-Mari, A. Garcia-Ojalvo, I. Martinez-Jimenez, N. Rodriguez-Rodriguez, D. Garcia Del Barco Herrera and G. Guillén-Nieto (2022). ""Cell-Free Filtrates (CFF) as Vectors of a Transmissible Pathologic Tissue Memory Code: A Hypothetical and Narrative Review."" Int J Mol Sci 23(19).","[""https://www.mdpi.com/1422-0067/23/19/11575"", ""https://www.tandfonline.com/doi/abs/10.1586/eri.10.93?journalCode=ierz20""]"
396,Toll-like receptor codes,The Toll-like Receptor Codes,"Cunha, C., L. Romani and A. Carvalho (2010). ""Cracking the Toll-like receptor code in fungal infections."" Expert Rev Anti Infect Ther 8(10): 1121-1137. Paré, A. C., Vichas, A., Fincher, C. T., Mirman, Z., Farrell, D. L., Mainieri, A., & Zallen, J. A. (2014). A positional Toll receptor code directs convergent extension in Drosophila. Nature, 515(7528), 523- 527.","[""https://doi.org/10.1016/j.biosystems.2026.105772"", ""https://doi.org/10.1038/nature13953"", ""https://www.tandfonline.com/doi/abs/10.1586/eri.10.93?journalCode=ierz20""]"
397,Topology code,The Topology Code,"Chen, C. (2026). Topology as biological code: information-driven evolution of neighborhood structures in self-organizing cellular systems. Biosystems, 263, 105772.","[""https://doi.org/10.1016/j.biosystems.2026.105772"", ""https://www.pnas.org/doi/abs/10.1073/pnas.2210114119""]"
398,Toxin code,The (Saxi)Toxin Code,"Chen, Z., S. Zakrzewska, H. S. Hajare, A. Alvarez-Buylla, F. Abderemane-Ali, M. Bogan, D. Ramirez, L. A. O'Connell, J. Du Bois and D. L. Minor, Jr. (2022). ""Definition of a saxitoxin (STX) binding code enables discovery and characterization of the anuran saxiphilin family."" Proc Natl Acad Sci U S A 119(44): e2210114119.","[""https://www.pnas.org/doi/abs/10.1073/pnas.2210114119""]"
399,Toxin resistance code,The Toxin Resistance Codes,"Tabashnik, B. E. (2001). ""Breaking the code of resistance."" Nat Biotechnol 19(10): 922-924.","[""https://www.nature.com/articles/35049541"", ""https://www.nature.com/articles/nbt1001-922""]"
400,Transcription factor code,The Transcription Factor Code,"Jessell, T. M. (2000). ""Neuronal specification in the spinal cord: inductive signals and transcriptional codes."" Nature Reviews Genetics 1(1): 20-29. Kobayashi, A., H. Yamagiwa, H. Hoshino, A. Muto, K. Sato, M. Morita, N. Hayashi, M. Yamamoto and K. Igarashi (2000). ""A combinatorial code for gene expression generated by transcription factor Bach2 and MAZR (MAZ-related factor) through the BTB/POZ domain."" Mol Cell Biol 20(5): 1733-1746. Marquardt, T. and S. L. Pfaff (2001). ""Cracking the Transcriptional Code for Cell Specification in the Neural Tube."" Cell 106(6): 651-654. Allan, D. W., S. E. St Pierre, I. Miguel-Aliaga and S. Thor (2003). ""Specification of neuropeptide cell identity by the integration of retrograde BMP signaling and a combinatorial transcription factor code."" Cell 113(1): 73-86. Ness, S. A. (2003). ""Myb protein specificity: evidence of a context-specific transcription factor code."" Blood Cells Mol Dis 31(2): 192-200. Okamura, H., K. Yokoyama, H. Koike, M. Yamada, A. Shimowasa, M. Kabasawa, T. Kawashima and M. Suzuki (2007). ""A structural code for discriminating between transcription signals revealed by the feast/famine regulatory protein DM1 in complex with ligands."" Structure 15(10): 1325-1338. Rothbächer, U., V. Bertrand, C. Lamy and P. Lemaire (2007). ""A combinatorial code of maternal GATA, Ets and beta-catenin-TCF transcription factors specifies and patterns the early ascidian ectoderm."" Development 134(22): 4023-4032. Bhati, M., C. Lee, A. L. Nancarrow, M. Lee, V. J. Craig, I. Bach, J. M. Guss, J. P. Mackay and J. M. Matthews (2008). ""Implementing the LIM code: the structural basis for cell type-specific assembly of LIM-homeodomain complexes."" Embo j 27(14): 2018-2029. Hochstim, C., B. Deneen, A. Lukaszewicz, Q. Zhou and D. J. Anderson (2008). ""Identification of positionally distinct astrocyte subtypes whose identities are specified by a homeodomain code."" Cell 133(3): 510-522. Pimanda, J. E., W. Y. Chan, N. K. Wilson, A. M. Smith, S. Kinston, K. Knezevic, M. E. Janes, J. R. Landry, A. Kolb-Kokocinski, J. Frampton, D. Tannahill, K. Ottersbach, G. A. Follows, G. Lacaud, V. Kouskoff and B. Göttgens (2008). ""Endoglin expression in blood and endothelium is differentially regulated by modular assembly of the Ets/Gata hemangioblast code."" Blood 112(12): 4512-4522.","[""https://ashpublications.org/blood/article/112/12/4512/24456/Endoglin-expression-in-blood-and-endothelium-is"", ""https://journals.asm.org/doi/10.1128/MCB.20.5.1733-1746.2000"", ""https://journals.biologists.com/dev/article/134/22/4023/64623/A-combinatorial-code-of-maternal-GATA-Ets-and"", ""https://linkinghub.elsevier.com/retrieve/pii/S1079979603001517"", ""https://www.cell.com/cell/fulltext/S0092-8674(03)00204-6"", ""https://www.cell.com/cell/fulltext/S0092-8674(08)00396-6"", ""https://www.cell.com/structure/fulltext/S0969-2126(07)00295-X"", ""https://www.embopress.org/doi/full/10.1038/emboj.2008.123"", ""https://www.nature.com/articles/35049541"", ""https://www.sciencedirect.com/science/article/pii/S0092867401004998""]"
401,Transcriptional codes,The Transcription Codes,"Beato, M. (1985). ""Modulation of gene expression through DNA-binding proteins: is there a regulatory code?"" Haematol Blood Transfus 29: 217-223. Harbison, C. T., D. B. Gordon, T. I. Lee, N. J. Rinaldi, K. D. Macisaac, T. W. Danford, N. M. Hannett, J. B. Tagne, D. B. Reynolds, J. Yoo, E. G. Jennings, J. Zeitlinger, D. K. Pokholok, M. Kellis, P. A. Rolfe, K. T. Takusagawa, E. S. Lander, D. K. Gifford, E. Fraenkel and R. A. Young (2004). ""Transcriptional regulatory code of a eukaryotic genome."" Nature 431(7004): 99-104. Markstein, M., R. Zinzen, P. Markstein, K. P. Yee, A. Erives, A. Stathopoulos and M. Levine (2004). ""A regulatory code for neurogenic gene expression in the Drosophila embryo."" Development 131(10): 2387-2394. Barrera, L. O. and B. Ren (2006). ""The transcriptional regulatory code of eukaryotic cells--insights from genome-wide analysis of chromatin organization and transcription factor binding."" Curr Opin Cell Biol 18(3): 291-298. Flames, N., R. Pla, D. M. Gelman, J. L. Rubenstein, L. Puelles and O. Marín (2007). ""Delineation of multiple subpallial progenitor domains by the combinatorial expression of transcriptional codes."" J Neurosci 27(36): 9682-9695. Gillespie, M. N. and G. L. Wilson (2007). ""Bending and breaking the code: dynamic changes in promoter integrity may underlie a new mechanism regulating gene expression."" Am J Physiol Lung Cell Mol Physiol 292(1): L1-3.","[""https://journals.biologists.com/dev/article/131/10/2387/42394/A-regulatory-code-for-neurogenic-gene-expression"", ""https://journals.physiology.org/doi/full/10.1152/ajplung.00275.2006"", ""https://link.springer.com/chapter/10.1007/978-3-642-70385-0_49"", ""https://www.jneurosci.org/content/27/36/9682"", ""https://www.nature.com/articles/nature02800"", ""https://www.sciencedirect.com/science/article/abs/pii/S0955067406000524""]"
402,Transfection code,The (Drug/Gene) Transfection Codes,"Reijneveld, J. F., Ruvalcaba, A., Afzal, S., & Suliman, S. (2025). Cracking the Code: Optimizing Ribonucleoprotein Delivery for Gene Editing in Human Myeloid Cells 4298. The Journal of Immunology, 214(Supplement_1).","[""https://doi.org/10.1093/jimmun/vkaf283.1998"", ""https://www.pnas.org/doi/10.1073/pnas.142690099""]"
403,Translation code,The Translation Codes,"Ito, K., L. Frolova, A. Seit-Nebi, A. Karamyshev, L. Kisselev and Y. Nakamura (2002). ""Omnipotent decoding potential resides in eukaryotic translation termination factor eRF1 of variant-code organisms and is modulated by the interactions of amino acid sequences within domain 1."" Proc Natl Acad Sci U S A 99(13): 8494-8499. Piqué, M., J. M. López, S. Foissac, R. Guigó and R. Méndez (2008). ""A combinatorial code for CPE- mediated translational control."" Cell 132(3): 434-448. Richter, J. D. (2008). ""Breaking the code of polyadenylation-induced translation."" Cell 132(3): 335- 337. Burke, P. C., H. Park and A. R. Subramaniam (2022). ""A nascent peptide code for translational control of mRNA stability in human cells."" Nat Commun 13(1): 6829. Kawamoto, N., & Iwasaki, S. (2026). Translating the green code: Ribo-Seq for photosynthetic eukaryotes in focus. The Journal of Biochemistry, 179(3), 163-176.","[""https://doi.org/10.1093/jb/mvag004"", ""https://www.cell.com/cell/fulltext/S0092-8674(08)00059-7"", ""https://www.cell.com/cell/fulltext/S0092-8674(08)00124-4"", ""https://www.nature.com/articles/s41467-022-34664-0"", ""https://www.pnas.org/doi/10.1073/pnas.142690099"", ""https://www.sciencedirect.com/science/article/abs/pii/S0968000406000569""]"
404,Translocation code,The Protein Translocation Code,"Shental-Bechor, D., S. J. Fleishman and N. Ben-Tal (2006). ""Has the code for protein translocation been broken?"" Trends Biochem Sci 31(4): 192-196. Nilsson, I., P. Lara, T. Hessa, A. E. Johnson, G. von Heijne and A. L. Karamyshev (2015). ""The code for directing proteins for translocation across ER membrane: SRP cotranslationally recognizes specific features of a signal sequence."" J Mol Biol 427(6 Pt A): 1191-1201. Hoernes, T. P., N. Clementi, K. Faserl, H. Glasner, K. Breuker, H. Lindner, A. Hüttenhofer and M. D. Erlacher (2016). ""Nucleotide modifications within bacterial messenger RNAs regulate their translation and are able to rewire the genetic code."" Nucleic Acids Res 44(2): 852-862.","[""https://academic.oup.com/nar/article/44/2/852/2468137"", ""https://portlandpress.com/biochemj/article-abstract/388/1/355/42033/Amino-acids-in-the-pore-region-of-Kv1-potassium?redirectedFrom=fulltext"", ""https://www.sciencedirect.com/science/article/abs/pii/S0022283614003076"", ""https://www.sciencedirect.com/science/article/abs/pii/S0968000406000569""]"
405,Transport codes,The Transport / Trafficking Codes,"Zhu, J., B. Gomez, I. Watanabe and W. B. Thornhill (2005). ""Amino acids in the pore region of Kv1 potassium channels dictate cell-surface protein levels: a possible trafficking code in the Kv1 subfamily."" Biochem J 388(Pt 1): 355-362. Marelli-Berg, F. M., L. Cannella, F. Dazzi and V. Mirenda (2008). ""The highway code of T cell trafficking."" J Pathol 214(2): 179-189. Roy, G., E. M. Chalfin, A. Saxena and X. Wang (2010). ""Interplay between ER exit code and domain conformation in CFTR misprocessing and rescue."" Mol Biol Cell 21(4): 597-609.","[""https://onlinelibrary.wiley.com/doi/10.1002/path.2269"", ""https://portlandpress.com/biochemj/article-abstract/388/1/355/42033/Amino-acids-in-the-pore-region-of-Kv1-potassium?redirectedFrom=fulltext"", ""https://www.molbiolcell.org/doi/10.1091/mbc.e09-05-0427?url_ver=Z39.88-2003""]"
406,Trans-regulatory,The Trans-Regulatory Code,"Beccari, L., R. Marco-Ferreres, N. Tabanera, A. Manfredi, M. Souren, B. Wittbrodt, I. Conte, J. Wittbrodt and P. Bovolenta (2015). ""A trans-Regulatory Code for the Forebrain Expression of Six3.2 in the Medaka Fish."" J Biol Chem 290(45): 26927-26942.","[""https://doi.org/10.1016/j.jmb.2014.07.005"", ""https://www.jbc.org/article/S0021-9258(20)49462-1/fulltext""]"
407,tRNA code,The tRNA Codes,"Sanbonmatsu, K. Y. (2014). Flipping through the genetic code: new developments in discrimination between cognate and near-cognate tRNAs and the effect of antibiotics. J Mol Biol, 426(19), 3197- 3200. Krutyhołowa, R., Zakrzewski, K., & Glatt, S. (2019). Charging the code - tRNA modification complexes. Curr Opin Struct Biol, 55, 138-146. Demongeot, J. and H. Seligmann (2020). ""The primordial tRNA acceptor stem code from theoretical minimal RNA ring clusters."" BMC Genet 21(1): 7. Gogoi, J., Bhatnagar, A., Ann, K. J., Pottabathini, S., Singh, R., Mazeed, M., . . . Sankaranarayanan, R. (2022). Switching a conflicted bacterial DTD-tRNA code is essential for the emergence of mitochondria. Sci Adv, 8(2), eabj7307. Kuhle, B., Hirschi, M., Doerfel, L. K., Lander, G. C., & Schimmel, P. (2023). Structural basis for a degenerate tRNA identity code and the evolution of bimodal specificity in human mitochondrial tRNA recognition. Nat Commun, 14(1), 4794.","[""https://bmcgenomdata.biomedcentral.com/articles/10.1186/s12863-020-0812-2"", ""https://doi.org/10.1016/j.jmb.2014.07.005"", ""https://doi.org/10.1016/j.sbi.2019.03.014"", ""https://doi.org/10.1038/s41467-023-40354-2"", ""https://doi.org/10.1126/sciadv.abj7307""]"
408,Tubulin code,The Tubulin Code,"Verhey, K. J. and J. Gaertig (2007). ""The tubulin code."" Cell Cycle 6(17): 2152-2160. Janke, C. (2014). The tubulin code: Molecular components, readout mechanisms, and functions. Journal of Cell Biology, 206(4), 461-472. Yu, I., C. P. Garnham and A. Roll-Mecak (2015). ""Writing and Reading the Tubulin Code."" J Biol Chem 290(28): 17163-17172. Barisic, M. and H. Maiato (2016). ""The Tubulin Code: A Navigation System for Chromosomes during Mitosis."" Trends Cell Biol 26(10): 766-775. Strzyz, P. (2016). Post-translational modifications: Extension of the tubulin code. Nat Rev Mol Cell Biol, 17(10), 609. Chakraborti, S., K. Natarajan, J. Curiel, C. Janke and J. Liu (2016). ""The emerging role of the tubulin code: From the tubulin molecule to neuronal function and disease."" Cytoskeleton (Hoboken) 73(10): 521-550. Gadadhar, S., S. Bodakuntla, K. Natarajan and C. Janke (2017). ""The tubulin code at a glance."" J Cell Sci 130(8): 1347-1353. Ferreira, L. T., A. C. Figueiredo, B. Orr, D. Lopes and H. Maiato (2018). ""Dissecting the role of the tubulin code in mitosis."" Methods Cell Biol 144: 33-74. Park, J. H. and A. Roll-Mecak (2018). ""The tubulin code in neuronal polarity."" Curr Opin Neurobiol 51: 95-102. Amargant, F., M. Barragan, R. Vassena and I. Vernos (2019). ""Insights of the tubulin code in gametes and embryos: from basic research to potential clinical applications in humans†."" Biol Reprod 100(3): 575-589. Janke, C. and M. M. Magiera (2020). ""The tubulin code and its role in controlling microtubule properties and functions."" Nat Rev Mol Cell Biol 21(6): 307-326. Roll-Mecak, A. (2020). ""The Tubulin Code in Microtubule Dynamics and Information Encoding."" Dev Cell 54(1): 7-20.","[""https://academic.oup.com/biolreprod/article/100/3/575/5105747"", ""https://doi.org/10.1038/nrm.2016.117"", ""https://doi.org/10.1083/jcb.201406055"", ""https://journals.biologists.com/jcs/article/130/8/1347/56730/The-tubulin-code-at-a-glance"", ""https://linkinghub.elsevier.com/retrieve/pii/S0021-9258(20)35323-0"", ""https://linkinghub.elsevier.com/retrieve/pii/S0959-4388(17)30301-X"", ""https://onlinelibrary.wiley.com/doi/full/10.1002/cm.21290"", ""https://www.cell.com/trends/cell-biology/fulltext/S0962-8924(16)30071-X"", ""https://www.nature.com/articles/s41580-020-0214-3"", ""https://www.sciencedirect.com/science/article/abs/pii/S0091679X18300402"", ""https://www.sciencedirect.com/science/article/pii/S1534580720304585"", ""https://www.tandfonline.com/doi/abs/10.4161/cc.6.17.4633""]"
